iter	Passed	Remaining
401	9234	13737
402	9256	13712
403	9279	13689
404	9299	13662
405	9321	13637
406	9343	13613
407	9364	13587
408	9387	13565
409	9408	13539
410	9431	13515
411	9452	13490
412	9473	13465
413	9496	13442
414	9518	13418
415	9543	13397
416	9566	13375
417	9591	13354
418	9613	13330
419	9636	13308
420	9659	13284
421	9680	13258
422	9702	13234
423	9723	13209
424	9745	13185
425	9767	13161
426	9791	13139
427	9812	13113
428	9835	13090
429	9857	13066
430	9879	13042
431	9901	13018
432	9922	12993
433	9943	12968
434	9965	12943
435	9987	12919
436	10008	12893
437	10029	12868
438	10052	12846
439	10076	12824
440	10100	12803
441	10124	12781
442	10146	12757
443	10168	12733
444	10191	12710
445	10212	12685
446	10236	12663
447	10257	12638
448	10279	12614
449	10301	12590
450	10322	12565
451	10344	12541
452	10366	12517
453	10387	12492
454	10410	12469
455	10432	12446
456	10455	12423
457	10477	12398
458	10499	12375
459	10522	12352
460	10544	12328
461	10567	12306
462	10589	12281
463	10612	12259
464	10634	12234
465	10657	12212
466	10678	12188
467	10701	12165
468	10724	12142
469	10747	12119
470	10769	12096
471	10790	12071
472	10813	12048
473	10836	12025
474	10857	12000
475	10880	11977
476	10901	11953
477	10924	11929
478	10946	11905
479	10968	11882
480	10990	11858
481	11011	11834
482	11033	11810
483	11056	11787
484	11079	11764
485	11102	11742
486	11126	11720
487	11149	11697
488	11171	11673
489	11192	11649
490	11213	11624
491	11235	11601
492	11256	11576
493	11277	11551
494	11301	11529
495	11323	11506
496	11346	11483
497	11369	11460
498	11390	11436
499	11412	11412
500	11434	11388
501	11455	11364
502	11477	11341
503	11499	11316
504	11520	11292
505	11542	11268
506	11565	11245
507	11587	11222
508	11610	11199
509	11633	11177
510	11655	11153
511	11679	11131
512	11699	11107
513	11721	11082
514	11744	11060
515	11767	11037
516	11788	11013
517	11810	10990
518	11832	10966
519	11854	10942
520	11877	10920
521	11899	10896
522	11920	10871
523	11946	10851
524	11981	10840
525	12002	10816
526	12024	10792
527	12045	10768
528	12067	10744
529	12090	10721
530	12113	10698
531	12135	10675
532	12159	10653
533	12181	10630
534	12202	10606
535	12224	10582
536	12247	10559
537	12269	10536
538	12291	10512
539	12312	10488
540	12334	10465
541	12356	10441
542	12377	10416
543	12399	10393
544	12421	10370
545	12443	10346
546	12465	10322
547	12487	10299
548	12509	10276
549	12530	10252
550	12552	10229
551	12573	10204
552	12595	10180
553	12616	10157
554	12638	10133
555	12661	10110
556	12682	10087
557	12704	10063
558	12724	10038
559	12746	10014
560	12766	9990
561	12787	9966
562	12808	9942
563	12830	9918
564	12852	9895
565	12874	9871
566	12895	9848
567	12916	9823
568	12937	9799
569	12957	9775
570	12979	9751
571	13000	9727
572	13022	9704
573	13042	9679
574	13062	9655
575	13084	9631
576	13106	9608
577	13128	9584
578	13152	9563
579	13175	9541
580	13198	9518
581	13221	9496
582	13244	9473
583	13264	9449
584	13286	9425
585	13307	9401
586	13328	9377
587	13350	9354
588	13372	9331
589	13395	9309
590	13419	9287
591	13442	9264
592	13466	9242
593	13489	9220
594	13511	9197
595	13534	9174
596	13558	9152
597	13581	9129
598	13604	9107
599	13627	9085
600	13650	9062
601	13673	9040
602	13697	9018
603	13720	8995
604	13743	8972
605	13764	8949
606	13785	8925
607	13807	8902
608	13827	8878
609	13849	8854
610	13871	8831
611	13893	8808
612	13914	8784
613	13935	8761
614	13958	8738
615	13979	8714
616	14001	8691
617	14023	8667
618	14043	8643
619	14065	8620
620	14086	8597
621	14107	8573
622	14128	8549
623	14148	8525
624	14171	8502
625	14195	8480
626	14218	8458
627	14242	8436
628	14263	8413
629	14284	8389
630	14306	8366
631	14326	8342
632	14349	8319
633	14377	8300
634	14400	8277
635	14422	8254
636	14444	8231
637	14466	8208
638	14487	8184
639	14507	8160
640	14529	8137
641	14551	8114
642	14572	8090
643	14593	8067
644	14614	8043
