iter	Logloss
0	0.6478495395
1	0.6082454389
2	0.5734859886
3	0.5397741429
4	0.5124133375
5	0.4884961665
6	0.4662049376
7	0.4458027542
8	0.4279741591
9	0.4120239305
10	0.3981338055
11	0.3857779612
12	0.3752191771
13	0.3648385815
14	0.3547468191
15	0.3456119066
16	0.3381503938
17	0.3311584257
18	0.3238523533
19	0.3175695211
20	0.310966687
21	0.3050880055
22	0.3003657802
23	0.2964332081
24	0.2920774516
25	0.2875122406
26	0.2835197997
27	0.2792375041
28	0.2756446138
29	0.2715327945
30	0.2678498482
31	0.2650143712
32	0.2617778363
33	0.2590435752
34	0.2557653799
35	0.2530851081
36	0.250722053
37	0.2486664231
38	0.2460631243
39	0.2442319553
40	0.242131913
41	0.2404489981
42	0.2381936273
43	0.2357907759
44	0.2340829618
45	0.232374808
46	0.230587631
47	0.2285800214
48	0.226997533
49	0.2255643847
50	0.2236872784
51	0.2223760414
52	0.2209690138
53	0.2196589039
54	0.218536648
55	0.2166971996
56	0.2154667096
57	0.2139142093
58	0.2120302855
59	0.2109744734
60	0.2095421163
61	0.208423103
62	0.2072977306
63	0.2062519301
64	0.2051239565
65	0.2036798409
66	0.2021508839
67	0.2012028123
68	0.2001199332
69	0.1991775124
70	0.1982677964
71	0.1971154667
72	0.1961887551
73	0.1952847528
74	0.1944607831
75	0.1934178576
76	0.1925627485
77	0.191593158
78	0.1905635364
79	0.1897287407
80	0.1889148487
81	0.1881061192
82	0.1870957173
83	0.1862922331
84	0.1854876991
85	0.1845512809
86	0.1838534653
87	0.1831636548
88	0.1820788853
89	0.181390885
90	0.1804382094
91	0.1797773044
92	0.1788046122
93	0.1780366319
94	0.1772867485
95	0.176670293
96	0.1760154148
97	0.1752171672
98	0.1745200232
99	0.1737419306
100	0.1730469095
101	0.1725036391
102	0.1718700524
103	0.1713078496
104	0.1707105045
105	0.1700836002
106	0.169471493
107	0.1689694387
108	0.1683800996
109	0.1676866294
110	0.1670894665
111	0.1664490852
112	0.1658056915
113	0.1652539059
114	0.1645801057
115	0.1639080405
116	0.1633559133
117	0.162682719
118	0.162029976
119	0.1614214191
120	0.1609127932
121	0.1603380767
122	0.159832635
123	0.1592431325
124	0.1587022927
125	0.1582540904
126	0.1576491866
127	0.1571641945
128	0.156649604
129	0.1561449256
130	0.1555884213
131	0.1549013366
132	0.1544130132
133	0.1539646245
134	0.1535043692
135	0.1530295845
136	0.1525949888
137	0.1520683207
138	0.1516360303
139	0.1511422909
140	0.1505591642
141	0.1499961796
142	0.1496301614
143	0.149218924
144	0.1486101652
145	0.1481837085
146	0.147680522
147	0.1472299856
148	0.1467817906
149	0.1461607574
150	0.1458185473
151	0.1453007174
152	0.1447362566
153	0.1443439864
154	0.1439245814
155	0.1434554429
156	0.1429876984
157	0.1425453271
158	0.1421677965
159	0.1417152133
160	0.1412875314
161	0.1409246075
162	0.1405132707
163	0.1400288557
164	0.1396440791
165	0.1392346576
166	0.1389044871
167	0.1383439556
168	0.1379356003
169	0.1375593942
170	0.1370519968
171	0.1367066373
172	0.1363662007
173	0.1360319938
174	0.1356636595
175	0.1352870601
176	0.1348843348
177	0.1345900307
178	0.1342917207
179	0.1339673946
180	0.1336400199
181	0.1332864733
182	0.1327592593
183	0.1323058436
184	0.1319437578
185	0.1315430012
186	0.1312438075
187	0.130871483
188	0.1304799294
189	0.1301337945
190	0.1297299708
191	0.1293646171
192	0.1290151534
193	0.1286862873
194	0.1282448375
195	0.1278274193
196	0.1274107064
197	0.1270459837
198	0.1267124502
199	0.1264276658
200	0.1260773663
201	0.1257068275
202	0.1253768231
203	0.1249911433
204	0.1246599984
205	0.1244003506
206	0.1240698564
207	0.1236667362
208	0.1233264407
209	0.1229930356
210	0.122640079
211	0.1223194642
212	0.1220131371
213	0.1216977334
214	0.1214023775
215	0.1210361467
216	0.1206649204
217	0.1203596664
218	0.1200652944
219	0.1196663411
220	0.1193634093
221	0.1190400973
222	0.1187537594
223	0.1184918029
224	0.1181253833
225	0.117825934
226	0.1175399294
227	0.1171882558
228	0.116835224
229	0.1165212416
230	0.1162553632
231	0.1158881383
232	0.1155605739
233	0.1152768786
234	0.1149648802
235	0.114628506
236	0.1142551257
237	0.1138753403
238	0.1135721919
239	0.1132956281
240	0.1130039179
241	0.1127460044
242	0.1123930671
243	0.1120699318
244	0.1117232188
245	0.1113415854
246	0.1110610971
247	0.1107820286
248	0.1104718561
249	0.1100867476
250	0.1097891719
251	0.1094644462
252	0.1092054632
253	0.1089419094
254	0.1086805564
255	0.1083346017
256	0.1080206632
257	0.107714031
258	0.1074417816
259	0.1071901594
260	0.1068587112
261	0.106583061
262	0.1062633569
263	0.1059404006
264	0.1056561852
265	0.1053422762
266	0.1050620295
267	0.1048041384
268	0.1045515839
269	0.1042677698
270	0.1040403122
271	0.1038195179
272	0.1035610765
273	0.1033019984
274	0.1030556613
275	0.102794365
276	0.102464069
277	0.1021474627
278	0.1018160846
279	0.1015882845
280	0.101317182
281	0.1010440832
282	0.1008024048
283	0.1005689082
284	0.100345379
285	0.1000932558
286	0.09974373621
287	0.09948095985
288	0.09921184278
289	0.09894100629
290	0.09871986515
291	0.09847313961
292	0.0982323262
293	0.09796585675
294	0.09771562077
295	0.09749197664
296	0.09726898702
297	0.09699569046
298	0.09677885367
299	0.09652235286
300	0.0962472045
301	0.09604033162
302	0.09577219752
303	0.09553039164
304	0.09527110604
305	0.09499640302
306	0.09479231806
307	0.09455810788
308	0.09438103825
309	0.09417110587
310	0.09392111846
311	0.09367252479
312	0.09345445655
313	0.09322694075
314	0.09300646299
315	0.09276369286
316	0.09258239258
317	0.09237587181
318	0.09216716484
319	0.09191933515
320	0.09166695488
321	0.09149880102
322	0.09129128221
323	0.091017615
324	0.09072840847
325	0.09047126625
326	0.09021015132
327	0.08995868519
328	0.08972952793
329	0.08954827384
330	0.08929003309
331	0.08909757616
332	0.08888730785
333	0.08870175819
334	0.0885213688
335	0.08831178967
336	0.08811027854
337	0.08796428009
338	0.08775356401
339	0.0875346293
340	0.08731158273
341	0.08708674189
342	0.08691480591
343	0.08670757388
344	0.08654869885
345	0.0863124701
346	0.08610419971
347	0.08585296561
348	0.08571427442
349	0.08554664316
350	0.08533549238
351	0.08515822754
352	0.08492729107
353	0.08466375822
354	0.08446269974
355	0.08427964194
356	0.08405695251
357	0.08379300726
358	0.08355396184
359	0.08342602991
360	0.08326575825
361	0.08313256401
362	0.08293302789
363	0.08277918768
364	0.0826230947
365	0.082446816
366	0.0822326233
367	0.08206644384
368	0.08187232722
369	0.08167160932
370	0.08151311635
371	0.08131924922
372	0.0811879847
373	0.08099898567
374	0.0808284006
375	0.08061764546
376	0.08042796084
377	0.08027964052
378	0.0800890311
379	0.07994545379
380	0.07977609434
381	0.07959422273
382	0.07941953823
383	0.0791866013
384	0.07904364774
385	0.07885667952
386	0.07868254044
387	0.07850872315
388	0.07833789584
389	0.07817922983
390	0.0779915001
391	0.07781890515
392	0.07768117652
393	0.07752861476
394	0.07733869622
395	0.07717794328
396	0.07699761471
397	0.07687453527
398	0.07671910026
399	0.07654037316
400	0.07634120706
401	0.07612175013
402	0.07598329937
403	0.07583532905
404	0.07562539151
405	0.07548261373
406	0.07531775111
407	0.07518483089
408	0.07501538745
409	0.07483250873
410	0.07460915233
411	0.07445742871
412	0.07432827888
413	0.07413200946
414	0.07392299055
415	0.07378015381
416	0.07362599006
417	0.07346322533
418	0.07331642375
419	0.07317321398
420	0.07302651906
421	0.07283530312
422	0.07267090283
423	0.07253503493
424	0.07238426979
425	0.07223114125
426	0.07205393845
427	0.07186931692
428	0.07171440703
429	0.07151710094
430	0.07134973266
431	0.07119902786
432	0.07109464985
433	0.07096982762
434	0.07085439956
435	0.07075888831
436	0.07056831328
437	0.07043471075
438	0.07026692981
439	0.07013884365
440	0.07001003464
441	0.0698292086
442	0.06967287685
443	0.06951805952
444	0.06936239274
445	0.06924434477
446	0.06910418293
447	0.06896554628
448	0.06883844387
449	0.06869078417
450	0.06858298899
451	0.06842084549
452	0.0682563903
453	0.06813796146
454	0.06800123493
455	0.06787993671
456	0.06774995535
457	0.06763657223
458	0.06748519537
459	0.06734676202
460	0.06715107797
461	0.06702741302
462	0.06688429126
463	0.06673194412
464	0.06663970888
465	0.06653238249
466	0.06638572602
467	0.06624103678
468	0.06612073223
469	0.06597486658
470	0.06581728391
471	0.06568797885
472	0.06556822622
473	0.06543182683
474	0.06530954565
475	0.0651875687
476	0.06505335088
477	0.06491391875
478	0.06478016777
479	0.06465634808
480	0.06453209906
481	0.06436984444
482	0.06424433794
